;url;Jahr;Laenge;Motor;Liegeplatz;Rumpfmaterial;YW#;Preis_String;Preis;Waehrung;Versteuert;Reserviert;Preis_Updates;Preis_Entwicklung;Preis_Ent_Datum;Datum_Ersterfassung;Datum_Letztes_Update;Alter_Anzeige
1346;https://www.yachtworld.de/Boote/2000/j-boats-j-105-3598165/;2000;10;einmotorig / diesel;Chicago, IL;GFK (Fiberglas);74905-3598165;US$59,500 (EUR50,738);50738,0;euro;;Nein;0;50738.0,;;2021-04-01;;
1347;https://www.yachtworld.de/Boote/2000/j-boats-j-105-3684400/;2000;10;einmotorig / diesel;Chicago, IL;Verbund;74905-3684400;US$75,000 (EUR63,955)Reserviert;63955,0;euro;;Ja;0;63955.0,;;2021-04-01;;
1348;https://www.yachtworld.de/Boote/1998/j-boats-j-105-3712810/;1998;10;einmotorig / diesel;Lunenburg, NS;GFK (Fiberglas);1408-3712810;US$74,000 (EUR63,102)Reserviert;63102,0;euro;;Ja;0;63102.0,;;2021-04-01;;
1349;https://www.yachtworld.de/Boote/1998/j-boats-j-105-3763952/;1998;10;  /;Toronto, ON;GFK (Fiberglas);76847-3763952;Can$88,000 (EUR59,725);59725,0;euro;;Nein;0;59725.0,;;2021-04-01;;
1350;https://www.yachtworld.de/Boote/2002/jeanneau-sun-odyssey-34-2-3821882/;2002;10;einmotorig / diesel;Deltaville , VA;GFK (Fiberglas);2666-3821882;US$65,000 (EUR55,428);55428,0;euro;;Nein;0;55428.0,;;2021-04-01;;
1351;https://www.yachtworld.de/Boote/1954/nielsen-yawl-3582079/;1954;10;einmotorig / diesel;Sargentville, ME;Holz;80197-3582079;US$59,000 (EUR50,311);50311,0;euro;;Nein;0;50311.0,;;2021-04-01;;
1352;https://www.yachtworld.de/Boote/1990/pacific-seacraft-34-3808381/;1990;10;einmotorig / diesel;Annapolis, MD;GFK (Fiberglas);77967-3808381;US$80,000 (EUR68,219);68219,0;euro;;Nein;0;68219.0,;;2021-04-01;;
1353;https://www.yachtworld.de/Boote/1988/pacific-seacraft-34-3743160/;1988;10;einmotorig / diesel;Kingston, WA;GFK (Fiberglas);1728-3743160;US$79,000 (EUR67,366)Reserviert;67366,0;euro;;Ja;0;67366.0,;;2021-04-01;;
1354;https://www.yachtworld.de/Boote/1985/pacific-seacraft-34-3666768/;1985;10;einmotorig / diesel;Seattle, WA;GFK (Fiberglas);1728-3666768;US$74,900 (EUR63,870);63870,0;euro;;Nein;0;63870.0,;;2021-04-01;;
1355;https://www.yachtworld.de/Boote/1988/pacific-seacraft-crealock-34-3618265/;1988;10;einmotorig / diesel;Beaufort, NC;GFK (Fiberglas);7346-3618265;US$79,900 (EUR68,133);68133,0;euro;;Nein;0;68133.0,;;2021-04-01;;
1356;https://www.yachtworld.de/Boote/1989/pdq-34-3718273/;1989;10;zweimotorig / Benzin;Newburyport, MA;GFK (Fiberglas);75960-3718273;US$67,900 (EUR57,901);57901,0;euro;;Nein;0;57901.0,;;2021-04-01;;
1357;https://www.yachtworld.de/Boote/1992/prout-event-34-3662695/;1992;10;einmotorig / diesel;marigot, St. Maarten/St. Martin;GFK (Fiberglas);74527-3662695;US$50,000 (EUR42,637);42637,0;euro;;Nein;0;42637.0,;;2021-04-01;;
1358;https://www.yachtworld.de/Boote/2000/roberts-passage-341-3715460/;2000;10;  /;Bayfield, ON;GFK (Fiberglas);12264-3715460;Can$84,900 (EUR57,621);57621,0;euro;;Nein;0;57621.0,;;2021-04-01;;
